timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1727705078.3971984,5.298102510006567e-08,5.748193933440158e-07,0.9958598200118602,0.09090224906795136,6.898731840491225e-07,-3.542759455570966e-07,-0.30185280172664786,-0.08393025738855446,1.7653202816442688,9.79999764536452
1727705078.6152372,5.6473662995921935e-08,5.840557102542061e-07,0.9954586257711034,0.09519519093715922,6.449817508258425e-07,-3.364000301307122e-07,-0.2815236315496093,-0.05435219821510527,1.7000759511467718,9.799997875652384
1727705078.6345832,6.030352936408422e-08,5.875685599314048e-07,0.9948717616762806,0.10114434150650475,-1.8601780570310977e-07,-3.7343941260085423e-07,-0.32109478461288005,0.2751613620645118,-0.5208289910053515,9.799993662757547
1727705078.6667852,6.310253998503137e-08,5.850605749560756e-07,0.9943209301707316,0.10642315454855095,-1.1059946337255416e-07,-4.2979251741111846e-07,-0.3683160316089369,0.2354624583514333,-0.33944081886328603,9.800001430617973
1727705078.9374137,6.653337327894056e-08,5.851967532612484e-07,0.9936838366403336,0.11221600955033018,2.639726081973437e-07,-4.699314364711171e-07,-0.4008475904072223,0.18419461567032702,0.6785420911742771,9.800007305040946
1727705078.9565382,7.162613678217762e-08,5.864798012656492e-07,0.9927335074321679,0.12033363295885557,2.0021021162923287e-07,-4.876258669455032e-07,-0.40553319633889406,-0.02340846540660259,0.4826437601750023,9.800002975978979
1727705078.9862707,7.532789478780926e-08,5.86640769186211e-07,0.9919920180969053,0.12630057811300416,3.0861791251315944e-08,-4.782263831511788e-07,-0.39893209664659557,0.03260132271810569,0.030353396983058303,9.799999941232231
1727705079.0161157,7.802964510346968e-08,5.796671260179769e-07,0.9912325547271019,0.13212881006366795,-6.446508843176857e-07,-4.6152497247738936e-07,-0.38519744355485647,-0.04510002305081937,-1.867769303918274,9.800003058892617
1727705079.0677538,8.067983976325133e-08,5.750392100087108e-07,0.9905480850499815,0.1371659258105959,-2.191750180703146e-07,-3.836240510179507e-07,-0.3127181101992296,-0.3407541320338201,-0.7498983967346357,9.80000162105533
1727705079.1177065,8.328944803831009e-08,5.704410238407551e-07,0.9898590913555811,0.14205273408270214,-2.0552767386068536e-07,-2.573731817266254e-07,-0.20783970967840748,-0.3450313268085973,-0.7207364780356097,9.800000913136213
1727705079.3375282,8.489254291183639e-08,5.695725795585391e-07,0.9894157080362327,0.14510877537498756,3.645696054300382e-08,-2.487956847266576e-07,-0.22901529517333846,0.33199399208265584,0.03311998521283196,9.79999995208823
1727705079.3486803,8.710215003364684e-08,5.697892482206476e-07,0.9888122132856785,0.14916570268243878,3.522120249537528e-08,-3.268751773637619e-07,-0.29544236524731515,0.32236155403940525,0.023213164059692527,9.799999964506638
1727705079.389756,9.089701020006665e-08,5.695958869184659e-07,0.9877446887029129,0.15607828144509134,-2.7102662095372435e-08,-4.2814776087387384e-07,-0.3804862069535221,0.2856886827785151,-0.16463152455637853,9.799998977998559
1727705079.4581523,9.366097983666067e-08,5.654228994724153e-07,0.986790650658391,0.1620006536186222,-2.1598312981639206e-07,-4.615941680933253e-07,-0.4062235147397799,0.14572115241157704,-0.7273879280990182,9.800005177993976
1727705079.4999337,9.690227288988557e-08,5.62987743264791e-07,0.985718526751197,0.1684012648976353,-1.0436736178661755e-07,-5.026415699229617e-07,-0.44701302286119426,0.21318747564782248,-0.42896581055063493,9.800000729552588
1727705079.5311642,1.022660690420797e-07,5.622975658046129e-07,0.9840079491028133,0.17812455221599416,4.493578348908734e-08,-5.885306604941652e-07,-0.5265221134735387,0.31301525001095554,-0.02113119420177294,9.800000013718286
1727705079.7094817,1.0693889381068638e-07,5.620775185862506e-07,0.9824811326792244,0.18636207749706118,4.36611923632839e-08,-6.511771656489639e-07,-0.5804455593854773,0.313676034631154,-0.035140119417811075,9.80000003010459
1727705079.7186522,1.1215766130228619e-07,5.619880675613707e-07,0.9807408938851063,0.19531333559466457,5.606839471569408e-08,-7.018696314992061e-07,-0.6128904616858072,0.05318468896612125,-0.04309846453046892,9.799999965043229
1727705079.7608564,1.1751927007145645e-07,5.617247481975334e-07,0.978898732695002,0.2043459594114591,5.3454241552201184e-08,-7.071568163961769e-07,-0.6148714560315847,0.01021405379487633,-0.05251263506402409,9.80000004866564
1727705080.01842,1.246950299825628e-07,5.611150760057695e-07,0.9762402211916879,0.2166910947115131,3.830841596363804e-08,-7.446865836108424e-07,-0.6588187660112116,0.3154649419462676,-0.05796750107817012,9.800000057605844
1727705080.021214,1.3054964416383694e-07,5.603619600516129e-07,0.9739021732357642,0.22696818492098053,3.7242341403586665e-08,-8.213843761820262e-07,-0.7245619031425176,0.31630439628177187,-0.0793880438098059,9.800000082611799
1727705080.0476625,1.3707373695321554e-07,5.600369299789366e-07,0.9712798999526839,0.23793981580973766,6.401405357866682e-08,-8.736212894134313e-07,-0.7579836149303483,0.06569003032536623,-0.0481619162807706,9.799999496319169
1727705080.0874267,1.458848291906614e-07,5.589315689507625e-07,0.9675506022569935,0.25267732797343584,5.3092212092585503e-08,-8.806581405544061e-07,-0.7604464226595982,0.012668559339325463,-0.08070029040983545,9.800000080875291
1727705080.1384072,1.5248987310874143e-07,5.579727599908403e-07,0.9646053188588153,0.2636978931067682,5.144549145589185e-08,-8.8190634373758e-07,-0.7605022987012013,0.01145698241618945,-0.08095891741774232,9.80000008346516
1727705080.1675131,1.6113972010915564e-07,5.643760218339813e-07,0.9616263158533492,0.2743625861118278,4.2113203991635375e-07,-8.606456074115289e-07,-0.7207541114876365,-0.25395206107863905,0.9536703784701953,9.799995562566666
1727705080.429294,1.7019052365714874e-07,5.660981725794424e-07,0.9579319615272208,0.28699539558024567,4.198368534718169e-09,-7.460245636349152e-07,-0.6071520080025903,-0.46575247609089876,-0.16414491791309815,9.800000195846117
1727705080.4326808,1.751294503315518e-07,5.646664325868768e-07,0.9556042286283334,0.2946532847726264,3.964151305597219e-09,-6.143225509403277e-07,-0.49679841672043873,-0.476466430155937,-0.13461603743034975,9.800000161240042
1727705080.455797,1.7910549310507338e-07,5.634956456006323e-07,0.953714693988436,0.30071295693766564,3.890658686324349e-09,-4.82544144897704e-07,-0.38633355194114893,-0.486258361030517,-0.11075413602898887,9.800000133149542
1727705080.5566387,1.821244047793116e-07,5.626053698837437e-07,0.9522940495803616,0.305181983631875,3.964075123485786e-09,-3.5068048172180014e-07,-0.2757614311602764,-0.49528461626614856,-0.09258660018492976,9.800000111808822
1727705080.5979443,1.8364098768115727e-07,5.583466415969188e-07,0.9510490431025176,0.3090399935500906,-2.206119471573093e-07,-2.0913327676803886e-07,-0.16437429335558468,-0.339303793629244,-0.693792306685337,9.800000843225362
1727705080.6308577,1.8465036398705712e-07,5.570396728588643e-07,0.9502816120061008,0.3113918076679953,1.415599300317624e-08,-2.0548465352164027e-07,-0.1894072223666703,0.3415355242758703,0.03868648192475317,9.799999950641917
1727705080.7999613,1.875065662495347e-07,5.597881259301984e-07,0.9492223356596952,0.31460603535915316,6.719876637400123e-07,-2.7310418239844637e-07,-0.22857068858610527,-0.09104255079803687,1.7997937994480238,9.800010823742086
1727705080.8203292,1.9368850131711778e-07,5.699717208806223e-07,0.9478699659021204,0.31865738299990876,4.4771330405424695e-07,-2.4934191598789113e-07,-0.20045235338825731,-0.15062270737086011,1.2409735953134107,9.799995128756562
1727705080.8531396,1.9605098389854192e-07,5.718497557028799e-07,0.9470966843590052,0.3209483922312332,6.193715241848316e-08,-1.8419902881505818e-07,-0.14662755165270488,-0.1299090263847003,0.20338477301906446,9.799997033760397
1727705081.1445262,1.9821887273121347e-07,5.7415401694807e-07,0.9464110441556193,0.322964604097572,6.031373863888401e-07,-1.7110016948702642e-07,-0.1394723781591041,-0.028334875581364605,1.7194769267164904,9.800010179256919
1727705081.1566458,2.0118138899721444e-07,5.783870433254637e-07,0.945772577405472,0.3248295427257741,1.6274095153355508e-07,-9.549382050228905e-08,-0.06739941643982851,-0.2784016615624047,0.5071371950568475,9.799999136760864
1727705081.188514,2.0191409649542207e-07,5.790946437279592e-07,0.9455656600317003,0.3254313792006524,-3.0568420126151146e-08,-4.682232816839457e-08,-0.038454756730719644,-0.022061560814725573,0.018351420151827086,9.799998994460042
1727705081.2190566,2.0209465068677157e-07,5.786290943005033e-07,0.9453738750766265,0.32598809230127834,-1.3779217221213811e-09,-4.7052050010577555e-08,-0.04220128066758341,0.07026360195849657,0.10903425556045028,9.800000592551395
1727705081.2600763,2.0227384398712602e-07,5.78008025651002e-07,0.9451599025213708,0.32660795866821407,-3.6881883144748426e-08,-5.212653009762362e-08,-0.043897643719912255,0.009758807713523736,0.00021629795560667794,9.79999999417549
1727705081.3012533,2.029096225691272e-07,5.784228506170272e-07,0.9449099713254312,0.3273303317589079,-3.3550891876810776e-08,-4.2082290024040415e-08,-0.03541504605353978,0.00038497091586708475,0.011624077967551051,9.799999435721658
1727705081.5222328,2.0187153129779944e-07,5.745244984655575e-07,0.944737949099429,0.32782648997760006,-7.304112827165823e-07,-4.040113157738164e-08,-0.03450214072210571,-0.0042296033906306625,-1.9236261494612021,9.799988673969168
1727705081.5238955,1.9860575719952236e-07,5.642925851817547e-07,0.9445752571917917,0.32829496417201165,-7.086728426925286e-07,-3.693124699928158e-08,-0.03235344979144319,-0.006085647744022841,-1.923350654736846,9.800002442870525
