timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1727705042.2385945,0.03422225532539403,-0.025845501548779477,0.0,0.0,0.0,-0.40569003432647943,0.9140107198759652,0.007860972009462175,0.0,0.0,0.0,0.0,-0.6326738829416806
1727705042.342426,0.0342222548308774,-0.025845500983513514,0.0,0.0,0.0,-0.4207289235738952,0.9071864046977068,0.0002450515235379036,0.0,0.0,0.0,0.0,-0.6597259629101769
1727705042.3957744,0.03421129662876427,-0.02583197894923597,0.0,0.0,0.0,-0.43638112048683425,0.8997619227788288,-0.00017405703409995033,0.0,0.0,0.0,0.0,-0.6767806887450829
1727705042.592859,0.03563572988399814,-0.02772721922801451,0.0,0.0,0.0,-0.45156856729711564,0.8922364199186392,0.02353511073601877,0.0,0.0,0.0,0.0,-0.6854781276851012
1727705042.6578178,0.03937875598503264,-0.033006218107339544,0.0,0.0,0.0,-0.46564807357637983,0.8849699834314192,0.08842500355096469,0.0,0.0,0.0,0.0,-0.6558818163364579
1727705042.9170156,0.042334529801989935,-0.03743738513541623,0.0,0.0,0.0,-0.47972527463774645,0.8774187488729306,0.11798321704260484,0.0,0.0,0.0,0.0,-0.6363800630682885
1727705042.9675589,0.04348518413862748,-0.03929112476289204,0.0,0.0,0.0,-0.49414040542020554,0.8693821137630766,0.07508657388533249,0.0,0.0,0.0,0.0,-0.6495805981455858
1727705043.0546424,0.04398413024384795,-0.04015844914674655,0.0,0.0,0.0,-0.5102345972820781,0.8600352642400169,0.03182571456701172,0.0,0.0,0.0,0.0,-0.702319305918873
1727705043.1077862,0.044017553441272186,-0.040220226624847,0.0,0.0,0.0,-0.5272315705052419,0.84972164328242,0.010708909808139488,0.0,0.0,0.0,0.0,-0.7698681083180954
1727705043.3235111,0.04504223930585699,-0.042426341559091155,0.0,0.0,0.0,-0.5429481041972801,0.8397662508987721,0.025027905292902553,0.0,0.0,0.0,0.0,-0.7697244323243595
1727705043.363138,0.047779254781314215,-0.048837711219728165,0.0,0.0,0.0,-0.5575942123865824,0.8301136634901193,0.09404045811418071,0.0,0.0,0.0,0.0,-0.7229122031506867
1727705043.4678633,0.05154871371879931,-0.05854913496786438,0.0,0.0,0.0,-0.5719217144064604,0.8203082058533703,0.1738933033691631,0.0,0.0,0.0,0.0,-0.6980570950878222
1727705043.5253515,0.055367422709602716,-0.06949588368374905,0.0,0.0,0.0,-0.585835194562006,0.8104302097111735,0.2201208210960887,0.0,0.0,0.0,0.0,-0.688508086357564
